Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage
Pacto de fuga,False,"['Drama', 'Thriller']",0,557.151,7.7,53,"During the last years of Pinochet's military regime,  a group of militants from the ""Manuel Rodríguez Patriotic Front"" plan a prison break of political prisoners, through a tunnel that will take them 18 months to dig.",Based on the most daring prison escape of all time.,0,2020-01-23,138,es
A Week Away,False,"['Drama', 'Family', 'Music', 'Romance']",0,577.066,7.0,117,"Troubled teen Will Hawkins has a run-in with the law that puts him at an important crossroad: go to juvenile detention or attend a Christian summer camp. At first a fish-out-of-water, Will opens his heart, discovers love with a camp regular, and sense of belonging in the last place he expected to find it.",,0,2021-03-26,94,en
Bad Boys for Life,False,"['Thriller', 'Action', 'Crime']",90000000,600.222,7.2,6147,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",Ride together. Die together.,426505244,2020-01-15,124,en
After We Collided,False,"['Romance', 'Drama']",0,602.721,7.3,3562,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,Can love overcome the past?,42000000,2020-09-02,105,en
Joker,False,"['Crime', 'Thriller', 'Drama']",55000000,560.337,8.2,17196,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Put on a happy face.,1074251311,2019-10-02,122,en
Fear of Rain,False,"['Thriller', 'Horror', 'Drama']",0,513.79,7.3,186,"A teenage girl living with schizophrenia begins to suspect her neighbor has kidnapped a child. Her parents try desperately to help her live a normal life, without exposing their own tragic secrets, and the only person who believes her is Caleb – a boy she isn’t even sure exists.",Some voices you can't outrun,0,2021-02-12,109,en
The Passion of the Christ,False,['Drama'],30000000,419.018,7.4,2938,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,"By his wounds, we were healed.",611899420,2004-02-25,127,en
Barb and Star Go to Vista Del Mar,False,['Comedy'],0,475.264,6.0,10,"The story of best friends Barb and Star, who leave their small midwestern town for the first time to go on vacation in Vista Del Mar, Florida, where they soon find themselves tangled up in adventure, love, and a villain’s evil plot to kill everyone in town.",The friendship we all want. The vacation we all need,0,2021-03-29,107,en
The Tax Collector,False,"['Action', 'Crime', 'Drama']",30000000,512.514,5.8,272,David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.,Payback comes with interest.,942666,2020-08-07,95,en
Dragonheart: Vengeance,False,"['Fantasy', 'Action', 'Adventure']",0,511.054,6.9,210,"Lukas, a young farmer whose family is killed by savage raiders in the countryside, sets out on an epic quest for revenge, forming an unlikely trio with a majestic dragon and a swashbuckling, sword-fighting mercenary, Darius.",,0,2020-02-04,97,en
Yes Day,False,"['Comedy', 'Family']",0,494.758,7.0,434,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,"For 24 hours, kids make the rules.",0,2021-03-12,86,en
Bloodshot,False,"['Action', 'Science Fiction']",42000000,494.898,6.9,3700,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",Being a superhero is in his blood,33542457,2020-03-05,110,en
The Doorman,False,"['Action', 'Thriller']",0,462.787,5.7,190,"A former Marine turned doorman at a luxury New York City high-rise must outsmart and battle a group of art thieves and their ruthless leader — while struggling to protect her sister's family. As the thieves become increasingly desperate and violent, the doorman calls upon her deadly fighting skills to end the showdown.",Be careful who you trust.,118666,2020-10-01,97,en
Cabras da Peste,False,"['Action', 'Comedy', 'Crime']",0,445.625,7.1,82,"Bruceuilis, a policeman from the countryside, is assigned to rescue Celestina, a goat considered heritage of his small city, and travels to São Paulo. There, he meets police clerk Trindade, who decides to venture out into the field, even though it is not his specialty.",,0,2021-03-18,97,pt
Assassin 33 A.D.,False,"['Science Fiction', 'Action', 'Adventure', 'Mystery', 'History', 'Fantasy']",0,464.946,5.3,53,"When a billionaire gives a group of young scientists unlimited resources to study the science of matter transfer, the scientists unlock the secrets of time travel. But they soon find out that the project is backed by a militant extremist group, and the billionaire plans to go back in time and prove that Jesus never rose from the dead.",What if the greatest event in human history was erased?,0,2020-01-24,108,en
Fast & Furious Presents: Hobbs & Shaw,False,"['Action', 'Adventure', 'Comedy']",200000000,479.449,6.9,4756,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",,760098996,2019-08-01,137,en
Sulla stessa onda,False,"['Drama', 'Romance']",2000000,480.952,7.0,77,A summer fling born under the Sicilian sun quickly develops into a heartbreaking love story that forces a boy and girl to grow up too quickly.,,0,2021-03-25,99,it
Legionnaire's Trail,False,"['History', 'Action', 'Adventure']",0,447.652,6.6,62,"Noreno, a half-Roman, is entrusted with the mission of crossing the snowy mountains of Armenia, swarming with Parthian patrols, to seek help for his slowly dying men.",,0,2020-05-08,96,en
100% Wolf,False,"['Family', 'Animation', 'Fantasy']",0,448.787,5.8,113,"Freddy Lupin, heir to a proud family line of werewolves, is in for a shock when on his 14th birthday his first 'warfing' goes awry, turning him into a ferocious poodle. The pack elders give Freddy until the next moonrise to prove he has the heart of a wolf, or risk being cast out forever. With the help of an unlikely ally in a streetwise stray named Batty, Freddy must prove he's 100% Wolf.",Every pack needs a leader!,4608579,2020-06-26,96,ar
The Unfamiliar,False,"['Thriller', 'Horror']",0,408.843,6.2,50,"A British Army doctor comes back from a war, thinking that she has PTSD only to discover that there is a more daunting malevolence at work making the life that she knew unfamiliar.",Some fears haunt you from within.,0,2020-08-21,89,en
Extraction,False,"['Drama', 'Action', 'Thriller']",65000000,466.772,7.4,3723,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.","When the mission ends, redemption begins",0,2020-04-24,116,en
Scooby-Doo! The Sword and the Scoob,False,"['Animation', 'Comedy', 'Family', 'Mystery', 'Adventure']",0,486.006,7.7,74,"An evil sorceress transports the gang back to the age of chivalrous knights, spell-casting wizards, and fire-breathing dragons.","Mystery, inc. is back!",0,2021-02-22,72,en
La Funeraria,False,"['Horror', 'Comedy']",0,396.793,0.0,0,"Bernardo is an undertaker. He runs his mortuary business in the same house where he resides. In the front, he has his clients. And in the back, his dysfunctional family lives amongst coffins, wreaths, and the mischievous but nonviolent ghosts that visit on a daily basis. But when a malevolent entity enters the scene, it wreaks havoc on the already fractured household.",Dare you visit?,0,2021-04-15,86,es
Finding 'Ohana,False,"['Action', 'Adventure', 'Comedy', 'Family']",0,400.566,6.6,212,"Two Brooklyn siblings' summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.",Home is where 'Ohana is.,0,2021-01-29,123,en
Jumanji: The Next Level,False,"['Adventure', 'Comedy', 'Fantasy']",125000000,437.169,7.0,5661,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",,796575993,2019-12-04,123,en
シン・エヴァンゲリオン劇場版:||,False,"['Animation', 'Action', 'Drama', 'Science Fiction']",0,442.557,6.5,6,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei search for refuge in the desolate red remains of Tokyo-3. But the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.","Bye-bye, all of EVANGELION.",0,2021-03-08,155,ja
Flora & Ulysses,False,"['Family', 'Adventure', 'Comedy', 'Fantasy']",0,390.298,6.8,116,"When Flora rescues a squirrel she names Ulysses, she is amazed to discover he possesses unique superhero powers, which take them on an adventure of humorous complications that ultimately change Flora's life--and her outlook--forever.",No tights. No cape. No problem.,0,2021-02-19,91,en
Code 8,False,"['Science Fiction', 'Action', 'Crime', 'Thriller', 'Drama']",0,370.329,6.2,1131,"In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)",Fear is the most dangerous power,157209,2019-12-06,99,en
The SpongeBob Movie: Sponge on the Run,False,"['Animation', 'Fantasy', 'Adventure', 'Comedy', 'Family']",60000000,398.327,7.8,2111,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",They're Not in Bikini Bottom Anymore.,4700000,2020-08-14,95,en
僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,False,"['Animation', 'Action', 'Fantasy', 'Adventure']",0,432.093,8.5,665,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",,29900850,2019-12-20,104,ja
Kağıttan Hayatlar,False,['Drama'],0,371.932,8.3,165,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",,0,2021-03-12,96,tr
Host,False,"['Horror', 'Mystery']",0,351.295,6.6,250,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night.",Someone new has joined the meeting.,26745,2020-12-04,56,en
6 Underground,False,"['Action', 'Thriller', 'Comedy']",150000000,330.642,6.3,3003,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",They say no one can save the world. Meet no one.,0,2019-12-10,128,en
We Can Be Heroes,False,"['Action', 'Fantasy', 'Family', 'Drama', 'Comedy']",0,369.047,6.3,436,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",Power comes in all sizes.,0,2020-12-25,97,en
